SubNo,subject_label,trial_index,rt,block,village,face1,face2,false_time,mean_false,mean_rt,session_date,source_file
16,S16,1,55.6757600000001,1,2,3,4,4.0,55.6757600000001,4.0,2026-04-12,SPtask1-16-2026-04-12.csv
16,S16,2,5.99994199999992,1,1,1,2,1.0,30.837851,2.5,2026-04-12,SPtask1-16-2026-04-12.csv
16,S16,3,50.5601276999998,1,3,5,6,4.0,37.4119432333333,3.0,2026-04-12,SPtask1-16-2026-04-12.csv
16,S16,4,13.8873506999998,2,2,3,4,2.0,13.8873506999998,2.0,2026-04-12,SPtask1-16-2026-04-12.csv
16,S16,5,12.3592097999999,2,3,5,6,0.0,13.1232802499999,1.0,2026-04-12,SPtask1-16-2026-04-12.csv
16,S16,6,4.78800739999997,2,1,1,2,0.0,10.3448559666666,0.666666666666667,2026-04-12,SPtask1-16-2026-04-12.csv
16,S16,7,2.69787369999995,3,2,3,4,0.0,2.69787369999995,0.0,2026-04-12,SPtask1-16-2026-04-12.csv
16,S16,8,6.8292113,3,3,5,6,2.0,4.76354249999997,1.0,2026-04-12,SPtask1-16-2026-04-12.csv
16,S16,9,4.54100629999994,3,1,1,2,0.0,4.68936376666663,0.666666666666667,2026-04-12,SPtask1-16-2026-04-12.csv
16,S16,10,3.68986580000001,4,2,3,4,0.0,3.68986580000001,0.0,2026-04-12,SPtask1-16-2026-04-12.csv
16,S16,11,15.0947575,4,1,1,2,2.0,9.39231165000001,1.0,2026-04-12,SPtask1-16-2026-04-12.csv
16,S16,12,2.89581219999991,4,3,5,6,0.0,7.22681183333331,0.666666666666667,2026-04-12,SPtask1-16-2026-04-12.csv
16,S16,13,3.55319800000007,5,3,5,6,0.0,3.55319800000007,0.0,2026-04-12,SPtask1-16-2026-04-12.csv
16,S16,14,4.09235230000013,5,1,1,2,1.0,3.8227751500001,0.5,2026-04-12,SPtask1-16-2026-04-12.csv
16,S16,15,2.04097260000003,5,2,3,4,0.0,3.22884096666674,0.333333333333333,2026-04-12,SPtask1-16-2026-04-12.csv
16,S16,16,3.86185999999998,6,3,5,6,0.0,3.86185999999998,0.0,2026-04-12,SPtask1-16-2026-04-12.csv
16,S16,17,3.67403919999992,6,1,1,2,1.0,3.76794959999995,0.5,2026-04-12,SPtask1-16-2026-04-12.csv
16,S16,18,2.32135629999993,6,2,3,4,0.0,3.28575183333328,0.333333333333333,2026-04-12,SPtask1-16-2026-04-12.csv
16,S16,19,2.29507469999999,7,2,3,4,0.0,2.29507469999999,0.0,2026-04-12,SPtask1-16-2026-04-12.csv
16,S16,20,2.77782550000006,7,3,5,6,0.0,2.53645010000002,0.0,2026-04-12,SPtask1-16-2026-04-12.csv
16,S16,21,3.25403470000015,7,1,1,2,0.0,2.77564496666673,0.0,2026-04-12,SPtask1-16-2026-04-12.csv
17,S17,1,20.9555948000016,1,2,3,4,4.0,20.9555948000016,4.0,2025-12-06,SPtask1-17-2025-12-06.csv
17,S17,2,33.3279208999993,1,1,1,2,3.0,27.1417578500004,3.5,2025-12-06,SPtask1-17-2025-12-06.csv
