SubNo,raw_village_pair,pair_condition,estimate_type,n_matches,center_x_0to10,center_y_0to10,distance_to_true,distance_to_derived,true_center_x,true_center_y
39,AC,far,cross_edges,2,4.438502673796791,4.545454545454545,0.3905540381571497,0.08185970087724183,4.4395,4.4395
39,AC,far,same_edges,2,4.278074866310161,4.251336898395722,0.33962645735703356,0.7239588482922628,4.4395,4.4395
39,BC,unknown,cross_edges,2,7.005347593582887,5.240641711229946,0.4470292070415919,0.6040056085664529,6.949,5.111999999999999
39,BC,unknown,same_edges,2,7.272727272727273,5.053475935828876,0.4515004576081539,0.38498342746765984,6.949,5.111999999999999
41,AB,near,cross_edges,2,4.983405610434621,7.56167819252392,0.6446039291990231,0.5643841969227548,5.112,6.949
41,AB,near,same_edges,2,5.213603378000849,7.725880275953845,0.7978063886059285,0.5944404854320823,5.112,6.949
41,AC,far,cross_edges,2,3.9706671508193514,4.165855974586155,0.5483857950924491,0.5372989131904076,4.4395,4.4395
41,AC,far,same_edges,2,4.46524064171123,4.545454545454545,0.5666723862860776,0.5460486352575472,4.4395,4.4395
41,BC,unknown,cross_edges,2,6.871657754010695,6.122994652406417,1.1419147894768717,0.8881635293483502,6.949,5.111999999999999
41,BC,unknown,same_edges,2,7.219251336898395,6.336898395721926,1.2565780740082075,1.1417855591289132,6.949,5.111999999999999
43,AB,near,cross_edges,2,5.427807486631016,7.4866310160427805,0.6236511679239847,0.39323492606846033,5.112,6.949
43,AB,near,same_edges,2,4.964259185201659,7.063497839415232,0.32196543272450917,0.13337285252778408,5.112,6.949
43,AC,far,cross_edges,2,4.679144385026738,4.732620320855615,0.43995638873343934,0.3333260870987246,4.4395,4.4395
43,AC,far,same_edges,2,4.518716577540107,4.732620320855615,0.3395621736166355,0.6165190582697104,4.4395,4.4395
43,BC,unknown,cross_edges,2,7.219251336898395,5.748663101604278,0.7080857019992399,0.6029361236926969,6.949,5.111999999999999
43,BC,unknown,same_edges,2,7.2727272727272725,5.401069518716579,0.5142038797304782,1.7435973678651855,6.949,5.111999999999999
